,x1,x2,x3,x4,x5,x6,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,Unnamed: 27,Unnamed: 28
0,id61539,7.1.1,asus_ASUS_X00HD,FR,0,1997,0.0,21,0,1,0,0.0,0.03614457831,0.0,83,asus,0,7,0,0,0,0,1,False,,,,,
1,id131313,7,samsung_SM-A310F,DK,0,1999,0.0,19,0,2,0,0.0,0.5294117647,0.0,102,samsung,0,7,0,0,0,0,0,False,,,,,
2,id57636,8.0.0,samsung_SM-G935F,SE,2,1996,0.0,22,0,1,0,0.031914893619999996,0.06382978722999999,0.0,94,samsung,0,8,0,0,0,1,0,True,,,,,
3,id138112,8.0.0,samsung_SM-A600T,US,0,1976,0.0,42,0,2,1,0.0,0.2,0.0,50,samsung,0,8,0,0,0,1,0,False,,,,,
4,id140462,7,samsung_SM-N920P,US,0,1989,0.0,29,0,2,2,0.028571428569999998,0.07142857142999999,0.0,70,samsung,0,7,0,0,0,0,0,True,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
5,id104875,7.1.1,Coolpad_Coolpad 3632A,US,1,1992,0.0,26,0,2,0,0.0,0.07142857142999999,0.0,42,Coolpad,0,7,0,0,1,0,0,False,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
6,id138427,8.0.0,samsung_SM-N950F,US,0,1995,0.0,23,0,2,1,0.0487804878,0.1056910569,0.0,123,samsung,0,8,0,0,0,1,0,True,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
7,id129440,8.1.0,samsung_SM-J727T1,US,1,1991,0.0,27,0,1,3,0.0487804878,0.0243902439,0.0,41,samsung,0,8,0,0,1,1,0,True,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
8,id122630,6.0.1,OPPO_CPH1611,SG,0,2000,0.0,18,0,0,1,0.03375527426,0.05063291138999999,0.0,237,OPPO,0,6,0,0,0,0,0,False,574253038517356133,Facebook,Play Games. Earn Money.,,
9,id46515,8.1.0,samsung_SM-J530F,FR,0,1995,0.0,23,0,1,0,0.0,0.08888888889,0.0,45,samsung,0,8,0,0,0,1,1,False,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
10,id47775,7,LGE_LG-H831,CA,0,1987,0.0,31,0,1,1,0.06849315068,0.10958904109999999,0.0,73,LGE,0,7,0,0,0,0,0,True,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
11,id130217,7,LGE_LG-M210,US,1,1986,0.0,32,0,1,0,0.0,0.2631578947,0.0,38,LGE,0,7,0,0,1,0,0,False,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
12,id82386,8.1.0,LGE_LM-V405,US,0,1999,0.0,19,0,2,1,0.0,0.1320754717,0.0,53,LGE,0,8,0,0,0,1,0,True,492786776143062094,Facebook,,,
